assignment_id,assignment_name,subject,class_id,class_name,teacher_id,teacher_name,student_id,student_name,due_date,planning_level,monitoring_level,evaluation_level,evidence
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S01,Student A,2026-08-01,Emerging,Not Observed,Not Observed,Student A showed emerging planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S02,Student B,2026-08-01,Not Observed,Proficient,Emerging,Student B showed not observed planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S03,Student C,2026-08-01,Proficient,Not Observed,Emerging,Student C showed proficient planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S04,Student D,2026-08-01,Not Observed,Not Observed,Emerging,Student D showed not observed planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S05,Student E,2026-08-01,Not Observed,Not Observed,Emerging,Student E showed not observed planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S06,Student F,2026-08-01,Emerging,Not Observed,Emerging,Student F showed emerging planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S07,Student G,2026-08-01,Proficient,Not Observed,Proficient,Student G showed proficient planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S08,Student H,2026-08-01,Emerging,Not Observed,Not Observed,Student H showed emerging planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S09,Student I,2026-08-01,Accomplished,Not Observed,Not Observed,Student I showed accomplished planning behaviour on assignment 1.
A001,Assignment 1,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S10,Student J,2026-08-01,Not Observed,Proficient,Emerging,Student J showed not observed planning behaviour on assignment 1.
A002,Assignment 2,Secondary 3 Chemistry,C3A,Class 3A,T1,Ms. Tan,S01,Student A,2026-08-15,Proficient,Proficient,Emerging,Student A showed proficient planning behaviour on assignment 2.
